Te[K],Arr[m3/s],CSC_Maxwellian[m3/s]
1.0000000000000000e+03,1.5098807105178485e-76,1.1171348929533553e-94
1.0100000000000000e+03,6.2205430026942918e-76,6.8641833280871632e-94
1.0200000000000000e+03,2.4929930873999760e-75,4.0715667589444952e-93
1.0300000000000000e+03,9.7267926589427025e-75,2.3334709558713813e-92
1.0400000000000000e+03,3.6975098401118410e-74,1.2932727237477319e-91
1.0500000000000000e+03,1.3704482565243919e-73,6.9375070896934581e-91
1.0600000000000000e+03,4.9560986156386241e-73,3.6051313329108329e-90
1.0700000000000000e+03,1.7500078812291532e-72,1.8164430845232190e-89
1.0800000000000000e+03,6.0374084618747256e-72,8.8814582155985417e-89
1.0900000000000000e+03,2.0363328857267690e-71,4.2178124343951921e-88
1.1000000000000000e+03,6.7189553417745570e-71,1.9471951405537516e-87
1.1100000000000000e+03,2.1700362268927615e-70,8.7464062334885571e-87
1.1200000000000000e+03,6.8642447904803792e-70,3.8257025508581329e-86
1.1300000000000000e+03,2.1277402489983546e-69,1.6305571153350256e-85
1.1400000000000000e+03,6.4665947416632157e-69,6.7757734101286203e-85
1.1500000000000000e+03,1.9279109126043686e-68,2.7468474499343010e-84
1.1600000000000000e+03,5.6411541238070572e-68,1.0869705595250683e-83
1.1700000000000000e+03,1.6207898386830855e-67,4.2011033072017551e-83
1.1800000000000000e+03,4.5747164939267956e-67,1.5868140810140100e-82
1.1900000000000000e+03,1.2690380931639037e-66,5.8608499173567440e-82
1.2000000000000000e+03,3.4613531572088848e-66,2.1179796864466114e-81
1.2100000000000000e+03,9.2866596545716607e-66,7.4931492272605163e-81
1.2200000000000000e+03,2.4518344780933214e-65,2.5968277263775174e-80
1.2300000000000000e+03,6.3725125369515505e-65,8.8208896648624185e-80
1.2400000000000000e+03,1.6311076962124701e-64,2.9383068278679814e-79
1.2500000000000000e+03,4.1130705739916357e-64,9.6022983041456108e-79
1.2600000000000000e+03,1.0221518572409809e-63,3.0797825240030685e-78
1.2700000000000000e+03,2.5042617441406274e-63,9.6985146688365866e-78
1.2800000000000000e+03,6.0506731329529010e-63,2.9998824437851025e-77
1.2900000000000000e+03,1.4422066747438063e-62,9.1178111145039141e-77
1.3000000000000000e+03,3.3922433349398357e-62,2.7241925675147424e-76
1.3100000000000000e+03,7.8761484040773427e-62,8.0042268188259602e-76
1.3200000000000000e+03,1.8056596836538682e-61,2.3137096254272322e-75
1.3300000000000000e+03,4.0886215646803840e-61,6.5823309710582480e-75
1.3400000000000000e+03,9.1465459920043970e-61,1.8437646594626443e-74
1.3500000000000000e+03,2.0220559027601420e-60,5.0869372540690582e-74
1.3600000000000000e+03,4.4187377736045241e-60,1.3828410498779521e-73
1.3700000000000000e+03,9.5473367852552098e-60,3.7049012924790484e-73
1.3800000000000000e+03,2.0401021903989169e-59,9.7857218338858694e-73
1.3900000000000000e+03,4.3123194430596378e-59,2.5488500524503867e-72
1.4000000000000000e+03,9.0190324318485579e-59,6.5486872927069457e-72
1.4100000000000000e+03,1.8667959063889901e-58,1.6601453532024422e-71
1.4200000000000000e+03,3.8248701058063972e-58,4.1537774135136752e-71
1.4300000000000000e+03,7.7591105161434815e-58,1.0260509378726775e-70
1.4400000000000000e+03,1.5587355908971611e-57,2.5029176881254859e-70
1.4500000000000000e+03,3.1015988616058719e-57,6.0311413586768244e-70
1.4600000000000000e+03,6.1141553894734441e-57,1.4359888702178645e-69
1.4700000000000000e+03,1.1942841702162534e-56,3.3792179352971074e-69
1.4800000000000000e+03,2.3119567326369388e-56,7.8611865499052062e-69
1.4900000000000000e+03,4.4364016200598968e-56,1.8082418713064715e-68
1.5000000000000000e+03,8.4399010339088163e-56,4.1134971775728444e-68
1.5100000000000000e+03,1.5921112149768239e-55,9.2563953176872532e-68
1.5200000000000000e+03,2.9785935865051232e-55,2.0608118237410805e-67
1.5300000000000000e+03,5.5274047271138960e-55,4.5403598955192917e-67
1.5400000000000000e+03,1.0175880285319664e-54,9.9011915734297753e-67
1.5500000000000000e+03,1.8587894322218110e-54,2.1375665080421675e-66
1.5600000000000000e+03,3.3694649811334308e-54,4.5695827035293951e-66
1.5700000000000000e+03,6.0621636382578817e-54,9.6749320966092144e-66
1.5800000000000000e+03,1.0826600835608817e-53,2.0291906697773664e-65
1.5900000000000000e+03,1.9196170997373105e-53,4.2167573597943793e-65
1.6000000000000000e+03,3.3795109550719039e-53,8.6832527161418374e-65
1.6100000000000000e+03,5.9083629012992723e-53,1.7721532523048055e-64
1.6200000000000000e+03,1.0259126868309239e-52,3.5851063969680816e-64
1.6300000000000000e+03,1.7694491313619731e-52,7.1903774883326963e-64
1.6400000000000000e+03,3.0318198261269805e-52,1.4299377578441214e-63
1.6500000000000000e+03,5.1612894454433738e-52,2.8201051996321510e-63
1.6600000000000000e+03,8.7307832543259844e-52,5.5164939812611465e-63
1.6700000000000000e+03,1.4677017037562009e-51,1.0704775992485493e-62
1.6800000000000000e+03,2.4522246227160024e-51,2.0609883931786413e-62
1.6900000000000000e+03,4.0725617385410059e-51,3.9375308288283551e-62
1.7000000000000000e+03,6.7236654121477038e-51,7.4659880476386053e-62
1.7100000000000000e+03,1.1036222209402899e-50,1.4051389772592732e-61
1.7200000000000000e+03,1.8011695563790526e-50,2.6252510474356649e-61
1.7300000000000000e+03,2.9231524023815753e-50,4.8695953116436002e-61
1.7400000000000000e+03,4.7179454346018089e-50,8.9688399296685029e-61
1.7500000000000000e+03,7.5735570850813575e-50,1.6404082674373468e-60
1.7600000000000000e+03,1.2092955016525312e-49,2.9798252869253054e-60
1.7700000000000000e+03,1.9208330689790004e-49,5.3765505119810643e-60
1.7800000000000000e+03,3.0353564097689735e-49,9.6369950987373217e-60
1.7900000000000000e+03,4.7723251101804479e-49,1.7161507179014569e-59
1.8000000000000000e+03,7.4659857819396244e-49,3.0366587959369065e-59
1.8100000000000000e+03,1.1622962707289564e-48,5.3396665354277807e-59
1.8200000000000000e+03,1.8007525423094221e-48,9.3315960700124690e-59
1.8300000000000000e+03,2.7767253779802179e-48,1.6209186469830842e-58
1.8400000000000000e+03,4.2617402413500683e-48,2.7987841051377284e-58
1.8500000000000000e+03,6.5110181214267726e-48,4.8041866826022902e-58
1.8600000000000000e+03,9.9026343433373148e-48,8.1988331662924261e-58
1.8700000000000000e+03,1.4994218501807505e-47,1.3912504693024132e-57
1.8800000000000000e+03,2.2604705774689814e-47,2.3475729730563760e-57
1.8900000000000000e+03,3.3931717467615307e-47,3.9394245122021714e-57
1.9000000000000000e+03,5.0719408988948702e-47,6.5748488293009398e-57
1.9100000000000000e+03,7.5497516952087647e-47,1.0914842421402812e-56
1.9200000000000000e+03,1.1192045811437871e-46,1.8024668243473875e-56
1.9300000000000000e+03,1.6524648052332499e-46,2.9612417892692321e-56
1.9400000000000000e+03,2.4301211201281046e-46,4.8402810005139575e-56
1.9500000000000000e+03,3.5597792174646844e-46,7.8720597057369226e-56
1.9600000000000000e+03,5.1944980673887694e-46,1.2739672224115369e-55
1.9700000000000000e+03,7.5511815481148926e-46,2.0516873094421511e-55
1.9800000000000000e+03,1.0936086428206906e-45,3.2883505232979804e-55
1.9900000000000000e+03,1.5780074793527546e-45,5.2455378544726052e-55
2.0000000000000000e+03,2.2687163326751635e-45,8.3287131594213620e-55
2.0100000000000000e+03,3.2501154987174936e-45,1.3163540583544306e-54
2.0200000000000000e+03,4.6396778338528318e-45,2.0711208084759954e-54
2.0300000000000000e+03,6.6003932969072828e-45,3.2441955435181808e-54
2.0400000000000000e+03,9.3576510480548392e-45,5.0595099206841692e-54
2.0500000000000000e+03,1.3222104149125525e-44,7.8566755677890856e-54
2.0600000000000000e+03,1.8620538290736238e-44,1.2148518140608466e-53
2.0700000000000000e+03,2.6137415644329401e-44,1.8706243921204892e-53
2.0800000000000000e+03,3.6570612675790997e-44,2.8684901346359191e-53
2.0900000000000000e+03,5.1005973659294367e-44,4.3807481909588837e-53
2.1000000000000000e+03,7.0916732298178052e-44,6.6634027438117809e-53
2.1100000000000000e+03,9.8295704350676310e-44,1.0095349548627334e-52
2.1200000000000000e+03,1.3583054086921113e-43,1.5235224706292670e-52
2.1300000000000000e+03,1.8713540136023354e-43,2.2903573830168064e-52
2.1400000000000000e+03,2.5705634341809624e-43,3.4301191975877215e-52
2.1500000000000000e+03,3.5207276164639500e-43,5.1178955635386911e-52
2.1600000000000000e+03,4.8082363347992850e-43,7.6080674462911808e-52
2.1700000000000000e+03,6.5479550407125243e-43,1.1268856140369577e-51
2.1800000000000000e+03,8.8921951620151428e-43,1.6631361726134492e-51
2.1900000000000000e+03,1.2042379221596795e-42,2.4458971296421097e-51
2.2000000000000000e+03,1.6264170935474354e-42,3.5845189257309011e-51
2.2100000000000000e+03,2.1907049253087953e-42,5.2351097363985939e-51
2.2200000000000000e+03,2.9429567633716702e-42,7.6197870132518543e-51
2.2300000000000000e+03,3.9431868635887625e-42,1.1053553423584477e-50
2.2400000000000000e+03,5.2697434982126387e-42,1.5981698966558087e-50
2.2500000000000000e+03,7.0246571043036549e-42,2.3031691541006734e-50
2.2600000000000000e+03,9.3404746837304567e-42,3.3084950733336097e-50
2.2700000000000000e+03,1.2388972900418086e-41,4.7375829319386118e-50
2.2800000000000000e+03,1.6392240481758008e-41,6.7627609844689196e-50
2.2900000000000000e+03,2.1636741867443322e-41,9.6238511043471724e-50
2.3000000000000000e+03,2.8491123702958548e-41,1.3653614360911461e-49
2.3100000000000000e+03,3.7428709956070201e-41,1.9312410603934850e-49
2.3200000000000000e+03,4.9055857625165698e-41,2.7235270587907337e-49
2.3300000000000000e+03,6.4147622205368809e-41,3.8295654201875141e-49
2.3400000000000000e+03,8.3692521078832767e-41,5.3691571892109058e-49
2.3500000000000000e+03,1.0894859672989701e-40,7.5061598425274635e-49
2.3600000000000000e+03,1.4151348560886584e-40,1.0464073917079309e-48
2.3700000000000000e+03,1.8341181101625203e-40,1.4546929248826537e-48
2.3800000000000000e+03,2.3720396150271324e-40,2.0167201078466216e-48
2.3900000000000000e+03,3.0612121606295555e-40,2.7883025365166390e-48
2.4000000000000000e+03,3.9423326478329502e-40,3.8447579792988051e-48
2.4100000000000000e+03,5.0665548521124565e-40,5.2874517222926831e-48
2.4200000000000000e+03,6.4980491383708663e-40,7.2524624924241405e-48
2.4300000000000000e+03,8.3171574977265878e-40,9.9220088372019068e-48
2.4400000000000000e+03,1.0624275041059091e-39,1.3539484910565972e-47
2.4500000000000000e+03,1.3544616341744215e-39,1.8429199185352035e-47
2.4600000000000000e+03,1.7234057600650056e-39,2.5022226273096303e-47
2.4700000000000000e+03,2.1886284481520338e-39,3.3890186993683093e-47
2.4800000000000000e+03,2.7741521770334438e-39,4.5789288107086913e-47
2.4900000000000000e+03,3.5097176074351718e-39,6.1717609981530835e-47
2.5000000000000000e+03,4.4320788141102573e-39,8.2989464593651482e-47
2.5100000000000000e+03,5.5865768843358333e-39,1.1133163826608129e-46
2.5200000000000000e+03,7.0290484532859647e-39,1.4900733783466677e-46
2.5300000000000000e+03,8.8281365737331900e-39,1.9897625161694303e-46
2.5400000000000000e+03,1.1068084086939199e-38,2.6510046085930775e-46
2.5500000000000000e+03,1.3852104697855915e-38,3.5240858725744172e-46
2.5600000000000000e+03,1.7306444635673395e-38,4.6743406456892668e-46
2.5700000000000000e+03,2.1585268532397629e-38,6.1864744796043048e-46
2.5800000000000000e+03,2.6876527474906391e-38,8.1700779056070872e-46
2.5900000000000000e+03,3.3408995651495079e-38,1.0766644887293688e-45
2.6000000000000000e+03,4.1460695278484837e-38,1.4158489204299142e-45
2.6100000000000000e+03,5.1368968308033329e-38,1.8580050357807431e-45
2.6200000000000000e+03,6.3542498645617280e-38,2.4332202049666176e-45
2.6300000000000000e+03,7.8475641228382794e-38,3.1800283034330038e-45
2.6400000000000000e+03,9.6765475456438210e-38,4.1476778742259174e-45
2.6500000000000000e+03,1.1913207140774439e-37,5.3989938211453559e-45
2.6600000000000000e+03,1.4644253945999827e-37,7.0139671844970177e-45
2.6700000000000000e+03,1.7973952904535042e-37,9.0942529642079810e-45
2.6800000000000000e+03,2.2027495215530536e-37,1.1768796276667956e-44
2.6900000000000000e+03,2.6954983402433409e-37,1.5200857463679443e-44
2.7000000000000000e+03,3.2936133956417458e-37,1.9596768755777319e-44
2.7100000000000000e+03,4.0185819232441956e-37,2.5216830627219566e-44
2.7200000000000000e+03,4.8960589610004367e-37,3.2388847895295236e-44
2.7300000000000000e+03,5.9566339126832749e-37,4.1524917306622728e-44
2.7400000000000000e+03,7.2367303243191834e-37,5.3142203461251502e-44
2.7500000000000000e+03,8.7796606537714500e-37,6.7888499795092249e-44
2.7600000000000000e+03,1.0636861146795789e-36,8.6573825009044302e-44
2.7700000000000000e+03,1.2869335740601657e-36,1.1020939097307308e-43
2.7800000000000000e+03,1.5549342260489889e-36,1.4005546605576349e-43
2.7900000000000000e+03,1.8762359126290857e-36,1.7768012441300241e-43
2.8000000000000000e+03,2.2609376421199647e-36,2.2503124559538165e-43
2.8100000000000000e+03,2.7209561583441309e-36,2.8452461759415977e-43
2.8200000000000000e+03,3.2703357258401426e-36,3.5915158232821927e-43
2.8300000000000000e+03,3.9256077104012028e-36,4.5261036315403008e-43
2.8400000000000000e+03,4.7062074696207805e-36,5.6946605068363472e-43
2.8500000000000000e+03,5.6349571268734037e-36,7.1534522071022062e-43
2.8600000000000000e+03,6.7386239991963986e-36,8.9717178045146960e-43
2.8700000000000000e+03,8.0485658014692316e-36,1.1234517616341725e-42
2.8800000000000000e+03,9.6014752745155455e-36,1.4046199645512871e-42
2.8900000000000000e+03,1.1440238603670841e-35,1.7534585738202036e-42
2.9000000000000000e+03,1.3614923929534068e-35,2.1856022619064137e-42
2.9100000000000000e+03,1.6183918429002924e-35,2.7201470622215425e-42
2.9200000000000000e+03,1.9215234889837487e-35,3.3803833324997150e-42
2.9300000000000000e+03,2.2788011446307771e-35,4.1946769177013575e-42
2.9400000000000000e+03,2.6994231220475036e-35,5.1975270825030565e-42
2.9500000000000000e+03,3.1940692060240293e-35,6.4308350301835100e-42
2.9600000000000000e+03,3.7751260422071138e-35,7.9454229894615939e-42
2.9700000000000000e+03,4.4569447757916225e-35,9.8028505300835858e-42
2.9800000000000000e+03,5.2561352581254871e-35,1.2077571510683295e-41
2.9900000000000000e+03,6.1919016760245952e-35,1.4859509238388010e-41
3.0000000000000000e+03,7.2864250575502952e-35,1.8257135710565590e-41
3.0100000000000000e+03,8.5652987750624825e-35,2.2401126936526563e-41
3.0200000000000000e+03,1.0058023908588809e-34,2.7448704562032794e-41
