n0,ne/n0,(Ar)/n0,(Ar*(1))/n0,(Ar*(2))/n0,(Ar*(3))/n0,Tg,E,energy,mobility,diffusion,C0,C1,C2,C3,C4,C5,C6,C7
3.22e+22,7.661110340436647e-06,0.9999923380941255,6.365974117305305e-10,1.5893656034176107e-10,0.0,1009.7245849435926,0.06934151699039712,0.1902533369215347,1.3627104935577296e+25,3.3353517212424445e+25,1.2621378530574604e-15,0.0,0.0,0.0,0.0,2.249416472113184e-33,7.53079307852374e-33,1.919408539947401e-26
3.22e+22,4.679152388737093e-06,0.9999953205764704,2.2068866161506683e-10,5.045226898041415e-11,0.0,1115.454491532764,0.5099764287361066,0.37091932246194365,2.5136906508491334e+25,3.3491270072903877e+25,2.229347815390411e-15,0.0,0.0,0.0,0.0,1.828353279684706e-31,1.1227012046620263e-30,5.1078599511894926e-24
3.22e+22,6.083761478333362e-14,0.9999999999999396,3.826909342602736e-17,3.494849407652078e-18,9.993392460249776e-25,1486.9428874396935,6.520878263720762e-13,0.1921992037708263,157770315152997.47,3.1001215069726827e+25,1.3822733998192874e-15,0.0,0.0,0.0,0.0,1.4937281958025223e-28,6.620256206603041e-28,8.766799238017558e-23
3.22e+22,1.3652622488842907e-06,0.9999986347149892,1.784028513443226e-11,4.921670501077299e-12,0.0,1064.9731042978237,4.692219826529155,0.8696487641728551,5.279502101150873e+25,1.7835697981078817e+25,9.36095718764913e-15,0.0,0.0,0.0,0.0,8.194775187445832e-24,4.2786006580978977e-23,6.112068470869419e-18
3.22e+22,7.652212933024154e-07,0.9999992347692774,7.856044494303913e-12,1.5730319018203946e-12,1.2490501010126093e-16,1228.1968062156545,0.9166602696751561,0.4510641269319269,2.955106480064111e+25,2.9151317829481653e+25,3.21373030660204e-15,0.0,0.0,0.0,0.0,3.6641182265835794e-29,1.9726408862952846e-28,2.0785468302485527e-22
3.22e+22,1.097390344417726e-06,0.999998902590662,1.5982572008036125e-11,3.0111788798115346e-12,0.0,1351.273351507936,0.07945765119924487,0.235661775361595,1.2945072851356196e+25,3.525041763497897e+25,1.4118884187621822e-15,0.0,0.0,0.0,0.0,1.225731482251403e-29,5.969504444481642e-29,2.2863023045773787e-23
3.22e+22,1.8120481139353591e-06,0.9999981878968809,3.619504534798519e-11,1.8810157067785174e-11,0.0,571.9852702697514,1.4514746255017263,0.48927357069144295,3.7445887087903853e+25,2.7024544281748426e+25,3.703081357795518e-15,0.0,0.0,0.0,0.0,2.5471342549835812e-33,8.610656632875539e-33,2.2251968540623286e-26
3.22e+22,2.8683080993830617e-06,0.9999971315936198,7.95128207693839e-11,1.8767970532588863e-11,0.0,1121.9632176553885,0.34975093989784367,0.3337758981693259,2.2522461824334554e+25,3.555218853463738e+25,1.8638920116093323e-15,0.0,0.0,0.0,0.0,9.272943911859518e-32,5.537923777599396e-31,2.3493552743983158e-24
3.22e+22,4.189025900227745e-06,0.999995810730025,1.857941890933672e-10,5.828064499511889e-11,0.0,888.2552409177799,2.0559334992825375,0.5831697581043169,4.027955108079602e+25,2.371902872037612e+25,5.067190526253706e-15,0.0,0.0,0.0,0.0,1.752964945920558e-30,1.4258025761218922e-29,5.652773367318626e-22
3.22e+22,5.18461029974274e-07,0.9999994815355722,2.7985590730442914e-12,5.993378086955034e-13,0.0,1276.6037098209938,0.06191050287441043,0.21217849913083858,1.1738665182694218e+25,3.403249557028871e+25,1.3440937406814e-15,0.0,0.0,0.0,0.0,1.4138550419237025e-30,7.318016306030609e-30,5.596660123423225e-24
3.22e+22,6.753165944445419e-07,0.9999993246760511,4.433710383919087e-12,2.9207268178513036e-12,0.0,346.47676136852635,0.37366020057445903,0.29254003029098713,2.7860224887278437e+25,3.80975862520373e+25,1.4051136628467345e-15,0.0,0.0,0.0,0.0,-1.5901417588083943e-33,-5.637356876369258e-33,-2.1917114987088314e-30
3.22e+22,1.2939572309272695e-06,0.9999987060236444,1.5394096259541217e-11,3.730339415501727e-12,0.0,1148.7249378949587,0.2109342890407317,0.2913387340142737,1.942319324863691e+25,3.7080558411787683e+25,1.5586010621372399e-15,0.0,0.0,0.0,0.0,9.497907853029687e-32,5.521406842577207e-31,1.705339833664345e-24
3.22e+22,4.950204086989272e-08,0.9999999504978972,2.5214260801275588e-14,3.6830886409745175e-14,0.0,377.9192532063998,1.6957623328818812,0.5106591208143303,4.009697911168074e+25,2.606594250082006e+25,4.0005994369599246e-15,0.0,0.0,0.0,0.0,2.708030031160441e-34,9.058943997516974e-34,6.737273346371426e-28
3.22e+22,7.209690883552679e-07,0.9999992790173021,1.1726165288951645e-11,1.162695632563829e-12,7.244878012435814e-13,1504.4148274898528,4.385785904800442,0.8671549859206124,5.013914628341048e+25,1.795982386261419e+25,9.321908679034864e-15,0.0,0.0,0.0,0.0,1.9060303738584334e-22,7.676125575915265e-22,1.4024071250474255e-17
3.22e+22,9.069258678841902e-10,0.9999999990930173,5.19057716911718e-14,4.905288637555439e-15,0.0,1401.8167620516301,6.147550265621669e-13,0.18119624799514675,154205445337404.38,3.0300860428182126e+25,1.3498422642596462e-15,0.0,0.0,0.0,0.0,2.1227831939457697e-29,9.956154012273232e-29,2.5008806790278183e-23
3.22e+22,7.435889932141622e-08,0.9999999256409322,8.722475072771875e-14,8.138278387593037e-14,0.0,338.25773643650655,1.735018032653169,0.5135412984006262,4.054233945799545e+25,2.5938141749169803e+25,4.040898901621715e-15,0.0,0.0,0.0,0.0,8.402567515226692e-34,2.381401242794961e-33,2.5369602731974253e-28
3.22e+22,3.9594372414666716e-06,0.9999960402467031,2.1411785843604503e-10,1.0193666530786988e-10,8.017105348397212e-16,493.33031569503936,0.0226279368829906,0.07089650306642836,4.7820905193008175e+24,1.1005741561147571e+25,1.7708281977328595e-15,0.0,0.0,0.0,0.0,8.809401115856453e-35,3.0231209768401703e-34,1.1147839468406407e-31
3.22e+22,2.0329610858951284e-06,0.9999979669767111,5.191670130918964e-11,6.919044331602621e-12,3.394131844884343e-12,1542.5618337042592,0.9497675661671494,0.47745942342174374,2.844377678015394e+25,2.8114959867222003e+25,3.587420872814428e-15,0.0,0.0,0.0,0.0,2.025631483492584e-26,8.648884257562829e-26,7.039672730925287e-21
3.22e+22,1.8098184829377896e-08,0.9999999819017455,5.358842100776261e-14,1.605586814786462e-14,0.0,1335.363221875731,5.856133553612118e-13,0.17260681875094844,150831999897338.3,2.963799064674117e+25,1.3316123058555314e-15,0.0,0.0,0.0,0.0,3.890926418503104e-30,1.9183742671252487e-29,8.460717214677835e-24
3.22e+22,6.582207746068726e-06,0.9999934170342537,5.483684259969321e-10,2.0963173256006693e-10,0.0,677.6014897620655,0.003991599745896948,0.08790131041422064,1.0383684858886109e+24,1.528509207016027e+25,1.5840201570684399e-15,0.0,0.0,0.0,0.0,9.74940933837834e-34,3.2283898403950966e-33,1.1242473316724396e-30
