n0,ne/n0,(Ar)/n0,(Ar*(1))/n0,(Ar*(2))/n0,(Ar*(3))/n0,Tg,E,energy,mobility,diffusion,C0,C1,C2,C3,C4,C5,C6,C7
3.22e+22,1.5990901083743328e-05,0.9999840052873343,2.299145602844538e-09,2.2440657273555313e-10,1.2880297128044989e-09,2034.9537512454733,0.6869297785128248,0.29165550352873104,1.8808103887172872e+21,3.2642860730365615e+25,2.022286348472426e-15,0.0,0.0,0.0,0.0,1.3399315046891576e-23,3.119256878153753e-23,1.0985370157677223e-19
3.22e+22,3.0169384731664555e-05,0.9999698161634568,7.382863073780212e-09,6.298625439336906e-10,6.439085917244762e-09,2353.8554004816297,0.0023899242549586626,0.2913100791718185,-2.5355619285101444e+16,3.2652127178035856e+25,2.021530889287603e-15,0.0,0.0,0.0,0.0,1.7780355166514518e-23,4.0320427234545277e-23,1.2201192581400953e-19
3.22e+22,1.2460138536573356e-05,0.9999875378852988,1.5064847985705848e-09,1.84475273103685e-10,2.8520468095915104e-10,1678.4461592166947,0.02960717668406559,0.29086348391894995,-3.53378466827244e+18,3.26614723003554e+25,2.015095741332273e-15,0.0,0.0,0.0,0.0,9.528148776400734e-24,2.2911582024461144e-23,9.683591973880845e-20
3.22e+22,3.082836813542492e-05,0.9999691564606047,7.468425402427713e-09,6.233132928989205e-10,7.079520999033779e-09,2430.289492302869,0.010511703228540028,0.29136094151264375,-9.629219472649802e+16,3.2651064273654614e+25,2.0222620006108255e-15,0.0,0.0,0.0,0.0,1.8994929735445923e-23,4.282047074276286e-23,1.2514870677088912e-19
3.22e+22,3.4120829106837024e-05,0.9999658625598585,1.0075748745990026e-08,9.78656758162754e-10,5.556629081021121e-09,2052.254726810246,0.002169229009090626,0.2911100451080753,-8.137278984301318e+16,3.2656310070296523e+25,2.018651960384219e-15,0.0,0.0,0.0,0.0,1.358273259880193e-23,3.157137622441199e-23,1.1021856595709287e-19
3.22e+22,5.684963394846073e-05,0.999943098201585,2.0849921205523634e-08,1.5463782694490439e-09,2.9768167059329866e-08,2934.0675868344397,1.2867799774858778e-12,0.2916956999821244,7784675.158262504,3.2644085352144593e+25,2.027081192309941e-15,0.0,0.0,0.0,0.0,2.877909385360398e-23,6.258101466649011e-23,1.473957402253548e-19
3.22e+22,9.921556466381245e-06,0.9999900770777292,9.271845722523175e-10,1.015235632689309e-10,3.3709638838316295e-10,1844.8224758361039,0.3065048095621086,0.2910834892903998,1.4644615953163466e+20,3.2656417986688686e+25,2.017429089465754e-15,0.0,0.0,0.0,0.0,1.1196108856006186e-23,2.650562613072479e-23,1.026816670976568e-19
3.22e+22,3.880778042741368e-05,0.9999611699208544,1.2521767466505475e-08,1.145327763020458e-09,8.631622990022886e-09,2188.799305378694,0.014471131171888045,0.2912008247025537,-1.690926302617291e+17,3.265440982354523e+25,2.019956636903993e-15,0.0,0.0,0.0,0.0,1.536998624097477e-23,3.53191049731067e-23,1.1544400575560386e-19
3.22e+22,1.2117056109038991e-05,0.999987880854275,1.3582941066575548e-09,1.423251795098108e-10,5.889967682207613e-10,1911.772387506602,0.391401432029231,0.2911978172864614,3.2988866340441194e+20,3.265375644569998e+25,2.018544186795873e-15,0.0,0.0,0.0,0.0,1.1931488821661382e-23,2.8076371954168184e-23,1.0512171535887417e-19
3.22e+22,4.920898818110245e-06,0.9999950783359354,3.1827490320568856e-10,2.1304302050722827e-11,4.256673536548152e-10,2756.733289165026,8.444948859484269,0.36664569118192686,1.3708263969572433e+24,3.1142039537582135e+25,2.6514723816066115e-15,0.0,0.0,0.0,0.0,3.449635605751044e-23,7.650354571658338e-23,2.0374375094845958e-19
3.22e+22,2.667284503523308e-06,0.9999973326194455,5.848369317551472e-11,6.3659354981481495e-12,3.120138316555989e-11,1987.5310404362426,5.894795807355763,0.3294727337831172,5.4769410884296705e+23,3.197087654553394e+25,2.3121315514710265e-15,0.0,0.0,0.0,0.0,1.5101836647624017e-23,3.542169725775572e-23,1.3052693551380419e-19
3.22e+22,3.802350536022064e-05,0.9999619534616353,1.120024454579134e-08,9.269664244117484e-10,1.090579356487171e-08,2458.7721318742947,1.0783030309670003e-12,0.2913797340885368,2598198.8466586303,3.265067248237531e+25,2.0225334552560444e-15,0.0,0.0,0.0,0.0,1.9463193501324928e-23,4.378113652111158e-23,1.2633267334382163e-19
3.22e+22,2.740829101083829e-05,0.9999725798109627,6.029293034759589e-09,5.136467737947729e-10,5.3550867172026545e-09,2369.6203424659448,0.05837560440670015,0.29132454337492236,1.492336493331714e+18,3.2651807152078895e+25,2.0217088235081493e-15,0.0,0.0,0.0,0.0,1.8026195622811707e-23,4.082752355448663e-23,1.2265627830285865e-19
3.22e+22,1.6507457627901312e-05,0.9999834886992472,2.4390195418922515e-09,2.5030718789025437e-10,1.153797961141943e-09,1956.9196766682805,0.10739533483879878,0.2910604567859604,2.8136018680378605e+17,3.2657291973128308e+25,2.017835116372991e-15,0.0,0.0,0.0,0.0,1.2438192556343594e-23,2.91512480869605e-23,1.0668534796985353e-19
3.22e+22,4.482991765009452e-05,0.9999551381168691,1.1870586835660267e-08,8.562679519160209e-10,1.9238626146998807e-08,3142.4270862195212,0.49396546350594517,0.2921219123703755,7.811254712416974e+20,3.2633996368098747e+25,2.0310508769256946e-15,0.0,0.0,0.0,0.0,3.391038756196973e-23,7.274386834293684e-23,1.576422340935029e-19
3.22e+22,4.353960666394644e-06,0.999995645316094,3.453375021855968e-10,2.3732513083984496e-11,3.5416967970291183e-10,2428.239349070489,5.81999380748952,0.32887779681768203,5.715950186633127e+23,3.1980829446670127e+25,2.3092722566519632e-15,0.0,0.0,0.0,0.0,2.2171410681589528e-23,5.016552749290016e-23,1.5016957600831257e-19
3.22e+22,2.9967709069185488e-06,0.9999970031090453,7.570701359222164e-11,8.430429332950382e-12,3.5910351816529775e-11,1934.061659490997,4.611526112894969,0.31504865779543595,3.042768498273366e+23,3.2225176484727454e+25,2.1943756329963986e-15,0.0,0.0,0.0,0.0,1.3477219655710825e-23,3.171711212522067e-23,1.1901079354837932e-19
3.22e+22,8.521771660841515e-06,0.9999914773433736,6.866795549762044e-10,8.788414609312184e-11,1.1040195376815248e-10,1647.2127234017419,7.223457711205099e-13,0.29084177771525993,349005.2750957942,3.266193199772789e+25,2.0147912059932267e-15,0.0,0.0,0.0,0.0,9.239309259799643e-24,2.2284390353336998e-23,9.577620739913884e-20
3.22e+22,3.0301751318021913e-05,0.9999696844184999,7.713496506484415e-09,7.056476990884944e-10,5.4110379852218444e-09,2186.01412121901,0.01487604322529214,0.29119897903995795,-2.3327006975831984e+17,3.2654448380630036e+25,2.019929965356304e-15,0.0,0.0,0.0,0.0,1.533245354287867e-23,3.524069568284841e-23,1.1533578139817622e-19
